,rownames,emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
851,852,real estate,10.0,OK,OWN,40000.0,Source Verified,12.63,,,,0,,2005,4,15,8,33745,8647,0,1,,0,0,1,4,4.0,8,0.0,0,2,7500,7,7,4,0,100.0,1,0,debt_consolidation,individual,10000,36,10.91,326.97,B,B4,Jan-2018,Current,whole,Cash,8361.51,2053.79,1638.49,415.3,0.0
852,853,dental assistant ,7.0,WA,MORTGAGE,40000.0,Source Verified,2.91,,,,0,42.0,2009,0,29,10,313008,3412,0,0,,0,0,0,3,16.0,10,0.0,0,2,16700,25,9,3,1,93.1,0,0,credit_card,individual,5000,36,5.31,150.56,A,A1,Mar-2018,Current,whole,DirectPay,4742.56,299.64,257.44,42.2,0.0
853,854,chief nursing officer,0.0,PA,RENT,140000.0,Source Verified,7.11,,,,0,,1991,1,31,17,124591,32219,0,0,,0,0,1,4,9.0,17,0.0,0,5,55100,27,16,8,0,100.0,0,0,small_business,individual,40000,36,6.08,1218.33,A,A2,Jan-2018,Current,whole,Cash,34869.96,6057.87,5130.04,927.83,0.0
854,855,occupational therapist,4.0,CO,MORTGAGE,54000.0,Not Verified,19.22,,,,0,,2012,0,5,5,258480,69078,0,0,,0,0,2,2,,5,0.0,0,1,17500,2,2,1,1,100.0,0,0,debt_consolidation,individual,4000,36,6.07,121.82,A,A2,Mar-2018,Current,whole,Cash,3693.7,364.11,306.3,57.81,0.0
855,856,clinical care manager,2.0,LA,MORTGAGE,54500.0,Source Verified,8.7,,,,0,28.0,1996,2,24,17,236382,112441,1,0,28.0,0,0,1,13,0.0,17,0.0,0,8,37800,16,15,9,1,75.0,0,0,credit_card,individual,22000,36,9.43,704.01,B,B1,Mar-2018,Current,fractional,DirectPay,20933.57,1396.49,1066.43,330.06,0.0
861,862,maintenance superintendent,0.0,VA,MORTGAGE,40000.0,Verified,14.4,,,,0,,2008,2,27,9,186700,18952,0,0,,0,0,1,8,3.0,9,0.0,0,2,9000,17,5,4,3,100.0,0,0,credit_card,individual,10000,36,5.32,301.15,A,A1,Mar-2018,Current,fractional,DirectPay,9226.13,919.71,773.87,145.84,0.0
867,868,general maintenance,4.0,KY,MORTGAGE,98000.0,Source Verified,18.63,,,,0,,2006,4,17,12,153440,52353,0,1,,0,0,4,4,8.0,12,0.0,0,4,14000,9,7,5,2,100.0,0,1,debt_consolidation,individual,29825,60,9.93,632.67,B,B2,Feb-2018,Current,whole,Cash,27859.17,2914.23,1965.83,948.4,0.0
868,869,district manager ,10.0,IL,RENT,140000.0,Source Verified,5.3,,,,0,49.0,2007,0,10,5,51179,25968,0,0,,0,2033,1,2,14.0,5,0.0,0,3,16000,6,4,3,0,100.0,0,0,other,individual,20000,36,9.93,644.69,B,B2,Jan-2018,Current,whole,Cash,17007.6,3684.37,2992.4,691.97,0.0
869,870,carpenter,10.0,CA,MORTGAGE,100000.0,Source Verified,6.18,,,,0,60.0,2005,2,20,7,397221,32720,0,0,60.0,0,0,1,2,1.0,7,0.0,0,0,5000,14,5,0,3,100.0,0,0,other,individual,24000,60,10.9,520.63,B,B4,Mar-2018,Current,whole,Cash,23083.84,1547.36,916.16,631.2,0.0
870,871,machinist,3.0,KS,OWN,45000.0,Not Verified,19.73,,,,0,,2008,0,6,5,35426,26140,0,0,,0,0,2,5,21.0,5,0.0,0,2,11000,3,3,3,0,100.0,0,0,debt_consolidation,individual,20000,36,10.42,649.3,B,B3,Feb-2018,Current,whole,DirectPay,18072.54,2574.04,1927.46,646.58,0.0
873,874,motor vehicle operator,10.0,KS,OWN,67500.0,Source Verified,9.92,142891.0,Source Verified,6.89,0,,2003,5,25,5,99557,25512,0,0,,0,0,1,5,6.0,5,0.0,0,0,11000,12,3,1,1,100.0,0,0,debt_consolidation,joint,10000,60,9.43,209.68,B,B1,Mar-2018,Current,whole,Cash,9603.61,650.0,396.39,253.61,0.0
874,875,owner ,2.0,MI,OWN,70000.0,Source Verified,0.0,,,,0,37.0,2006,0,12,5,19400,0,0,0,,0,0,0,4,17.0,5,0.0,0,0,19100,12,5,0,0,75.0,0,0,small_business,individual,29600,36,7.97,927.15,A,A5,Feb-2018,Current,whole,Cash,26648.53,3695.49,2951.47,744.02,0.0
875,876,sergeant,4.0,NH,OWN,35000.0,Not Verified,11.73,,,,0,55.0,2013,0,7,5,24110,17570,0,0,55.0,0,0,1,4,,5,0.0,0,0,0,4,4,2,0,85.7,0,0,credit_card,individual,6100,36,11.98,202.55,B,B5,Mar-2018,Current,whole,Cash,5815.28,403.07,284.72,118.35,0.0
880,881,sr operations manager,10.0,TX,MORTGAGE,80000.0,Source Verified,17.53,,,,0,44.0,1992,0,14,9,228305,34744,0,0,44.0,0,0,1,2,,9,0.0,0,5,20000,9,7,6,1,85.7,0,0,credit_card,individual,8000,36,7.96,250.55,A,A5,Mar-2018,Current,whole,Cash,7403.61,748.11,596.39,151.72,0.0
882,883,owner ,5.0,WV,OWN,22000.0,Source Verified,8.24,,,,0,,2014,1,4,3,7300,4809,0,0,,0,0,0,0,5.0,3,0.0,0,3,7300,3,3,3,0,100.0,0,0,credit_card,individual,8000,36,11.99,265.68,B,B5,Jan-2018,Current,whole,Cash,7052.52,1317.74,947.48,370.26,0.0
884,885,machine operator,5.0,IN,OWN,50000.0,Not Verified,17.26,,,,0,,2013,2,14,9,39289,22712,0,0,,0,0,2,3,7.0,9,,0,2,9500,11,7,3,0,100.0,0,0,credit_card,individual,9000,36,7.97,281.91,A,A5,Feb-2018,Current,whole,Cash,8102.57,1117.68,897.43,220.25,0.0
887,888,owner,7.0,WA,RENT,175000.0,Not Verified,2.75,,,,0,,1990,0,16,5,64000,5939,0,0,,0,0,1,1,,5,0.0,0,2,52000,9,4,2,2,100.0,0,0,home_improvement,individual,7000,36,5.32,210.81,A,A1,Jan-2018,Current,whole,Cash,6276.1,841.17,723.9,117.27,0.0
888,889,nurse practitioner,3.0,NC,RENT,65000.0,Source Verified,4.1,,,,0,,2000,0,12,4,20500,12101,0,0,,0,0,0,1,,4,0.0,0,1,8000,10,4,4,0,100.0,0,0,debt_consolidation,individual,15000,36,7.97,469.84,A,A5,Feb-2018,Current,whole,Cash,13504.32,1866.08,1495.68,370.4,0.0
890,891,assistant office manager,3.0,AZ,RENT,30000.0,Not Verified,5.68,,,,0,,2012,1,9,6,23700,8511,0,0,,0,0,0,4,8.0,6,0.0,0,3,11700,9,6,5,0,100.0,0,0,debt_consolidation,individual,15000,36,11.98,498.08,B,B5,Mar-2018,Current,whole,Cash,14299.86,976.19,700.14,276.05,0.0
893,894,call center manager,9.0,IL,OWN,39000.0,Source Verified,16.03,,,,0,47.0,1999,5,37,17,202591,81781,0,0,,0,0,2,8,0.0,17,0.0,0,2,16800,19,14,4,2,97.3,0,0,credit_card,individual,11200,36,10.9,366.15,B,B4,Mar-2018,Current,fractional,Cash,10668.76,718.74,531.24,187.5,0.0
894,895,,,VA,RENT,35000.0,Source Verified,11.56,,,,0,,2004,1,19,16,31000,4606,0,2,,0,633,0,10,4.0,16,0.0,0,8,15800,18,16,10,0,100.0,0,2,debt_consolidation,individual,11000,36,9.92,354.53,B,B2,Mar-2018,Current,fractional,Cash,10202.65,1057.54,797.35,260.19,0.0
896,897,fleet manager,6.0,CA,RENT,80000.0,Not Verified,19.97,,,,0,,2001,0,12,8,53150,26013,0,0,,0,0,1,0,,8,0.0,0,4,28500,11,7,5,0,100.0,0,0,credit_card,individual,30000,60,11.99,667.19,B,B5,Feb-2018,Current,whole,Cash,28508.06,2678.02,1491.94,1186.08,0.0
897,898,electronic tech,10.0,NV,MORTGAGE,110000.0,Verified,17.5,,,,0,,1995,1,22,15,398173,52030,0,0,,0,0,0,3,11.0,14,,0,8,43500,17,13,11,1,100.0,0,0,credit_card,individual,28000,60,9.43,587.1,B,B1,Mar-2018,Current,whole,Cash,27262.98,1159.53,737.02,422.51,0.0
898,899,project manager ,10.0,NJ,OWN,90000.0,Source Verified,12.07,126600.0,Not Verified,12.18,0,66.0,2001,3,37,14,311437,54288,0,0,66.0,0,0,2,5,7.0,14,0.0,0,1,35500,24,11,2,4,97.3,0,0,debt_consolidation,joint,17600,60,10.9,381.79,B,B4,Mar-2018,Current,whole,Cash,17103.55,792.26,496.45,295.81,0.0
901,902,physical therapist,3.0,OH,MORTGAGE,63000.0,Source Verified,16.32,106000.0,Not Verified,22.56,0,,2002,0,32,11,344508,127479,0,0,,0,0,4,3,,11,0.0,0,3,17000,9,6,5,1,100.0,0,0,debt_consolidation,joint,28800,60,9.44,604.01,B,B1,Jan-2018,Current,whole,Cash,26882.82,3004.95,1917.18,1087.77,0.0
905,906,owner principle broker ,10.0,OR,MORTGAGE,132323.0,Source Verified,0.0,,,,0,99.0,2003,0,23,6,454600,0,0,0,99.0,0,0,0,5,13.0,6,0.0,0,0,800,19,4,0,4,81.8,0,0,other,individual,10000,60,10.9,216.93,B,B4,Mar-2018,Current,whole,Cash,9746.66,427.8,253.34,174.46,0.0
906,907,business analyst,2.0,MD,RENT,100000.0,Not Verified,2.95,,,,0,,2007,4,12,8,76500,5783,0,0,,0,0,0,5,0.0,8,0.0,0,7,76500,9,8,7,0,100.0,0,0,credit_card,individual,10000,36,6.71,307.45,A,A3,Mar-2018,Current,whole,Cash,9495.53,611.17,504.47,106.7,0.0
907,908,customer service representative ,4.0,AZ,OWN,67000.0,Source Verified,18.25,,,,0,,2003,0,14,10,239814,23243,0,1,,0,0,1,3,18.0,10,0.0,0,4,13000,9,8,6,1,100.0,0,1,debt_consolidation,individual,10000,36,9.43,320.01,B,B1,Mar-2018,Current,whole,Cash,9270.01,954.79,729.99,224.8,0.0
908,909,quota analyst ,10.0,IL,RENT,49000.0,Source Verified,16.79,,,,0,26.0,2007,7,12,7,40843,31908,0,0,,0,0,1,7,9.0,7,0.0,0,4,11400,6,6,5,0,100.0,0,0,credit_card,individual,10000,36,10.41,324.61,B,B3,Mar-2018,Current,whole,Cash,9280.21,968.05,719.79,248.26,0.0
912,913,manager,2.0,AZ,RENT,30000.0,Not Verified,14.32,,,,0,56.0,2012,3,7,4,25687,10351,0,0,,0,1196,1,2,1.0,4,0.0,0,2,13800,4,3,2,0,85.7,0,0,debt_consolidation,individual,5000,36,10.91,163.49,B,B4,Jan-2018,Current,whole,Cash,4521.4,650.93,478.6,172.33,0.0
916,917,vice president emergency services ,4.0,AR,MORTGAGE,106000.0,Not Verified,18.67,,,,0,52.0,1998,3,52,23,344324,109982,0,0,52.0,0,10266,2,10,3.0,23,0.0,0,3,24300,36,20,8,5,92.3,0,0,home_improvement,individual,5500,36,10.9,179.81,B,B4,Mar-2018,Current,whole,Cash,5106.9,536.1,393.1,143.0,0.0
918,919,programmer,0.0,WA,MORTGAGE,94000.0,Source Verified,9.09,,,,0,,2005,8,19,15,45669,16075,0,0,,0,0,3,3,0.0,15,0.0,0,8,28500,12,12,9,0,100.0,0,0,debt_consolidation,individual,20000,36,9.93,644.69,B,B2,Jan-2018,Current,whole,Cash,18059.31,2606.35,1940.69,665.66,0.0
922,923,assistant manager,0.0,NC,RENT,54000.0,Source Verified,11.11,,,,0,67.0,2009,5,12,7,27224,16500,0,0,67.0,0,0,1,6,3.0,7,0.0,0,4,7800,6,6,4,0,83.3,0,0,debt_consolidation,individual,2000,36,6.72,61.5,A,A3,Jan-2018,Current,whole,DirectPay,1509.42,546.27,490.58,55.69,0.0
924,925,,,CA,RENT,36051.0,Not Verified,17.51,,,,0,,1999,3,25,16,29800,7861,0,1,,0,200,2,6,7.0,16,0.0,0,5,18700,20,14,9,0,100.0,0,1,credit_card,individual,6000,36,7.97,187.94,A,A5,Jan-2018,Current,whole,DirectPay,2000.0,4139.05,4000.0,139.05,0.0
926,927,technician,3.0,NH,RENT,60000.0,Source Verified,3.16,,,,0,,2007,2,14,9,8900,3410,0,1,,0,1414,0,2,0.0,9,0.0,0,5,8500,8,7,5,0,100.0,0,1,major_purchase,individual,6000,36,9.44,192.03,B,B1,Jan-2018,Current,fractional,Cash,5264.37,953.86,735.63,218.23,0.0
928,929,driver/operator,10.0,VA,RENT,61000.0,Not Verified,14.7,,,,0,80.0,2003,0,18,10,47642,21256,0,0,80.0,0,0,3,6,22.0,10,0.0,0,4,13000,11,7,4,0,100.0,0,0,debt_consolidation,individual,1000,36,6.72,30.75,A,A3,Jan-2018,Current,fractional,Cash,872.83,153.38,127.17,26.21,0.0
929,930,sr project manager,5.0,MN,MORTGAGE,75000.0,Not Verified,1.89,,,,0,39.0,2001,0,20,5,188550,3751,0,0,,0,0,0,1,21.0,5,0.0,0,1,26500,15,4,1,2,95.0,0,0,debt_consolidation,individual,3500,36,7.96,109.62,A,A5,Feb-2018,Current,whole,Cash,1397.3,2172.38,2102.7,69.68,0.0
931,932,sr manager operations support,0.0,CO,OWN,75000.0,Not Verified,8.83,,,,0,,2005,2,13,9,344696,33162,0,0,,0,0,1,2,3.0,9,0.0,0,2,12000,7,7,3,2,100.0,0,0,debt_consolidation,individual,4200,36,10.91,137.33,B,B4,Jan-2018,Current,fractional,Cash,3695.18,684.1,504.82,179.28,0.0
934,935,runner,2.0,HI,RENT,42585.6,Verified,7.07,,,,0,39.0,2000,2,14,2,5000,3415,0,0,,0,0,0,1,1.0,2,0.0,0,2,5000,12,2,2,0,85.7,0,0,credit_card,individual,12000,36,9.93,386.82,B,B2,Jan-2018,Current,whole,Cash,4470.4,7920.86,7529.6,391.26,0.0
938,939,hr coordinator,10.0,LA,RENT,70000.0,Source Verified,5.81,,,,0,,2005,1,16,10,58069,15746,0,0,,0,278,1,5,10.0,10,0.0,0,5,46500,10,9,5,0,100.0,0,0,debt_consolidation,individual,10000,60,10.42,214.55,B,B3,Jan-2018,Current,whole,Cash,9350.23,1058.28,649.77,408.51,0.0
944,945,legal assistant,2.0,GA,RENT,56500.0,Source Verified,15.34,,,,0,,2006,0,17,4,60739,70911,0,0,,0,0,1,2,16.0,4,0.0,0,2,12000,3,2,2,0,100.0,0,0,credit_card,individual,11000,36,7.35,341.42,A,A4,Feb-2018,Current,whole,DirectPay,9893.71,1361.19,1106.29,254.9,0.0
951,952,purchasing agent,3.0,MD,RENT,70000.0,Source Verified,12.24,,,,0,,2005,0,36,22,272878,373361,0,0,,0,0,20,2,17.0,22,0.0,0,2,20000,7,2,2,0,100.0,0,0,other,individual,7500,36,7.34,232.75,A,A4,Mar-2018,Current,fractional,Cash,6935.94,695.19,564.06,131.13,0.0
953,954,repair technician,10.0,WA,RENT,60500.0,Not Verified,7.34,,,,0,,2001,0,24,10,69120,44476,0,0,,0,0,2,3,,10,0.0,0,6,37500,15,8,7,0,100.0,0,0,medical,individual,15000,36,7.35,465.57,A,A4,Jan-2018,Current,whole,Cash,13108.5,2312.54,1891.5,421.04,0.0
955,956,lead application soa architect,4.0,CA,RENT,195000.0,Source Verified,14.34,,,,0,,2008,0,13,9,113789,77261,0,0,,0,0,2,2,13.0,9,0.0,0,5,77600,10,7,7,0,100.0,0,0,credit_card,individual,40000,60,11.98,889.38,B,B5,Mar-2018,Current,whole,Cash,38515.13,2614.9,1484.87,1130.03,0.0
957,958,manicurist,3.0,TX,MORTGAGE,65000.0,Not Verified,13.59,,,,0,,2006,1,17,9,88252,37299,0,0,,0,0,1,4,8.0,9,0.0,0,4,52800,14,8,4,0,100.0,0,0,credit_card,individual,20000,36,6.71,614.9,A,A3,Mar-2018,Current,whole,Cash,18484.51,1860.54,1515.49,314.3,30.75
958,959,rn,10.0,MA,MORTGAGE,108000.0,Not Verified,18.4,140000.0,Not Verified,15.42,0,33.0,1996,1,19,13,337041,38289,0,0,33.0,0,0,4,7,4.0,13,0.0,0,5,31100,11,8,7,1,94.4,0,0,debt_consolidation,joint,25800,60,9.93,547.29,B,B2,Feb-2018,Current,whole,Cash,24448.15,2217.08,1351.85,865.23,0.0
959,960,teacher,6.0,GA,MORTGAGE,40000.0,Source Verified,16.26,70000.0,Not Verified,9.72,0,,2003,0,18,7,159510,31367,0,0,,0,0,4,2,,7,0.0,0,1,7000,7,1,1,3,100.0,0,0,car,joint,12000,60,10.9,260.32,B,B4,Mar-2018,Current,fractional,Cash,11695.99,506.11,304.01,202.1,0.0
960,961,aircraft mechanic,3.0,NV,MORTGAGE,95000.0,Not Verified,12.44,,,,0,,2011,3,9,7,328319,31973,0,0,,0,0,2,5,1.0,7,0.0,0,1,10800,4,4,2,2,100.0,0,0,credit_card,individual,7000,36,6.07,213.18,A,A2,Feb-2018,Current,whole,Cash,6464.25,637.18,535.75,101.43,0.0
965,966,lead operator,2.0,CA,MORTGAGE,60000.0,Not Verified,11.5,,,,0,,2006,1,19,12,261386,20374,0,0,,0,0,3,3,12.0,12,0.0,0,3,37000,12,8,4,1,100.0,0,0,credit_card,individual,13000,36,6.71,399.69,A,A3,Mar-2018,Current,whole,Cash,12013.51,1194.22,986.49,207.73,0.0
969,970,project manager,10.0,KY,MORTGAGE,65000.0,Source Verified,4.28,,,,0,,1996,1,41,14,164664,54820,0,1,,0,0,2,7,6.0,12,0.0,0,1,17500,25,11,3,3,100.0,0,1,debt_consolidation,individual,4000,36,6.72,123.0,A,A3,Jan-2018,Current,whole,Cash,3491.33,612.01,508.67,103.34,0.0
970,971,facility administrator,4.0,CA,RENT,120000.0,Not Verified,1.06,,,,0,45.0,2005,7,17,11,44600,3096,0,0,,0,0,0,3,1.0,11,0.0,0,5,38100,17,11,5,0,94.1,0,0,credit_card,individual,32000,36,6.72,983.98,A,A3,Jan-2018,Current,whole,Cash,27930.78,4907.95,4069.22,838.73,0.0
972,973,general manager,1.0,FL,RENT,300000.0,Not Verified,8.68,,,,0,57.0,1987,2,45,17,1016281,51220,0,0,113.0,0,0,1,10,10.0,17,0.0,0,4,22800,19,11,9,6,95.6,0,0,debt_consolidation,individual,20000,36,6.71,614.9,A,A3,Feb-2018,Current,whole,Cash,17312.15,3070.77,2687.85,382.92,0.0
973,974,designer,10.0,GA,MORTGAGE,56000.0,Not Verified,14.59,,,,0,,2000,0,25,14,197745,14530,0,0,,0,0,2,2,,14,0.0,0,1,60600,17,11,2,1,100.0,0,0,credit_card,individual,3025,36,6.08,92.14,A,A2,Jan-2018,Current,whole,Cash,2637.02,458.66,387.98,70.68,0.0
975,976,compliance specialist ii,10.0,VA,OWN,69000.0,Not Verified,16.73,,,,0,,1987,0,13,5,57420,48167,0,0,,0,0,1,2,,5,0.0,0,2,27500,6,4,2,3,100.0,0,0,credit_card,individual,25000,36,6.07,761.35,A,A2,Mar-2018,Current,whole,Cash,23727.01,1514.27,1272.99,241.28,0.0
976,977,tax director,6.0,MA,RENT,205000.0,Source Verified,8.14,,,,0,46.0,2000,3,22,9,164382,138544,0,0,46.0,0,0,2,4,6.0,9,0.0,0,5,65400,10,7,5,0,100.0,0,0,credit_card,individual,30000,36,7.34,930.99,A,A4,Mar-2018,Current,whole,Cash,28500.44,1849.75,1499.56,350.19,0.0
977,978,research faculty associate,8.0,CA,RENT,86000.0,Not Verified,12.14,,,,0,,1990,2,16,9,80200,25908,0,0,,0,0,1,4,7.0,9,0.0,0,4,46800,15,8,5,0,100.0,0,0,credit_card,individual,16000,60,9.93,339.41,B,B2,Feb-2018,Current,whole,Cash,15161.63,1348.81,838.37,510.44,0.0
978,979,supervisor,10.0,NJ,MORTGAGE,69000.0,Verified,16.49,,,,0,,2002,4,13,8,389982,43340,0,0,,0,0,1,7,7.0,8,0.0,0,5,46600,10,6,6,1,100.0,0,0,credit_card,individual,25000,36,10.91,817.41,B,B4,Jan-2018,Current,whole,DirectPay,22607.14,3254.49,2392.86,861.63,0.0
987,988,edi specialist,0.0,NJ,OWN,53000.0,Verified,12.05,,,,0,25.0,2006,6,9,6,228282,13082,0,0,,0,0,1,5,8.0,6,0.0,0,1,3500,6,4,3,1,77.8,0,0,home_improvement,individual,15000,36,10.41,486.91,B,B3,Mar-2018,Current,whole,Cash,13920.33,1452.05,1079.67,372.38,0.0
991,992,investment & planning analyst,3.0,OH,RENT,40000.0,Not Verified,13.14,,,,0,,2010,1,19,10,83086,68717,0,0,,0,0,2,6,8.0,10,0.0,0,3,21000,12,8,3,0,100.0,0,0,debt_consolidation,individual,3600,36,9.44,115.22,B,B1,Feb-2018,Current,whole,Cash,3248.27,459.94,351.73,108.21,0.0
992,993,community bank president,3.0,CO,MORTGAGE,142500.0,Source Verified,10.26,,,,0,52.0,2002,0,39,12,416708,80187,0,1,52.0,0,0,2,5,,12,0.0,0,4,32100,19,9,6,1,97.2,0,1,debt_consolidation,individual,40000,60,9.93,848.51,B,B2,Feb-2018,Current,whole,Cash,37904.12,3371.97,2095.88,1276.09,0.0
994,995,owner,4.0,CA,RENT,60000.0,Not Verified,13.3,,,,0,54.0,2002,0,21,10,51600,17498,0,1,,0,0,3,3,,10,0.0,0,2,23000,12,7,2,0,95.2,0,1,credit_card,individual,12000,36,6.71,368.94,A,A3,Mar-2018,Current,fractional,Cash,11089.41,1102.35,910.59,191.76,0.0
995,996,hot end fiberizer,10.0,GA,RENT,90000.0,Not Verified,8.95,,,,0,58.0,2006,0,23,6,38365,23410,0,0,76.0,0,597,1,7,17.0,6,0.0,0,5,14400,8,5,5,0,91.3,0,0,debt_consolidation,individual,10000,36,9.44,320.05,B,B1,Jan-2018,Current,fractional,Cash,8519.29,1845.01,1480.71,364.3,0.0
997,998,,,MI,MORTGAGE,70000.0,Not Verified,3.91,,,,0,,1997,0,21,8,194300,15487,0,0,,0,0,0,1,18.0,8,0.0,0,5,80300,16,7,5,2,100.0,0,0,major_purchase,individual,16000,36,5.31,481.77,A,A1,Mar-2018,Current,whole,Cash,14761.63,1475.99,1238.37,237.62,0.0
1000,1001,staff rn 2,10.0,CA,MORTGAGE,120000.0,Not Verified,17.81,,,,0,,1998,3,29,20,474829,38032,0,0,,0,0,2,2,6.0,20,0.0,0,6,58500,24,17,9,1,100.0,0,0,home_improvement,individual,20000,36,5.32,602.3,A,A1,Feb-2018,Current,fractional,Cash,18452.87,1795.08,1547.13,247.95,0.0
1013,1014,caretaker,4.0,ME,OWN,71000.0,Not Verified,19.74,,,,0,,1992,1,22,15,343590,41527,0,0,,0,0,2,4,6.0,15,0.0,0,2,32700,17,12,8,1,100.0,0,0,credit_card,individual,12000,36,5.32,361.38,A,A1,Jan-2018,Fully Paid,whole,Cash,0.0,12008.8633333331,12000.0,8.86,0.0
1014,1015,commercial loader,3.0,NY,RENT,31000.0,Not Verified,1.94,,,,0,,2006,3,16,5,30800,146,0,0,,0,0,0,2,3.0,5,0.0,0,2,28800,9,5,2,0,100.0,0,0,other,individual,6000,36,6.71,184.47,A,A3,Feb-2018,Current,fractional,Cash,5391.24,735.64,608.76,126.88,0.0
1017,1018,project specialist,10.0,FL,RENT,80000.0,Source Verified,17.7,,,,0,,2000,0,19,10,60829,27835,0,1,,0,0,2,6,15.0,10,0.0,0,3,12500,14,8,8,0,100.0,0,1,credit_card,individual,4000,36,10.41,129.85,B,B3,Mar-2018,Current,whole,Cash,3712.07,387.24,287.93,99.31,0.0
1021,1022,process sample lab tech,10.0,AL,MORTGAGE,50000.0,Source Verified,10.54,,,,0,51.0,2001,0,17,4,198113,24497,0,0,,0,0,1,2,,4,0.0,0,0,0,6,2,1,2,82.4,0,0,other,individual,6000,36,7.97,187.94,A,A5,Jan-2018,Current,whole,Cash,5249.65,937.04,750.35,186.69,0.0
1025,1026,service technician,7.0,NJ,MORTGAGE,75000.0,Not Verified,15.22,,,,0,,2000,1,17,11,171975,46296,0,0,,0,0,4,5,7.0,11,0.0,0,3,29700,6,6,3,2,100.0,0,0,debt_consolidation,individual,1000,36,7.97,31.33,A,A5,Jan-2018,Current,whole,Cash,874.91,156.21,125.09,31.12,0.0
1026,1027,insurance consultant agent,10.0,MS,MORTGAGE,113000.0,Not Verified,14.9,,,,0,76.0,1986,0,47,13,307050,48873,0,0,,0,0,3,2,17.0,13,0.0,0,4,69200,16,9,5,3,97.8,0,0,debt_consolidation,individual,10000,36,5.32,301.15,A,A1,Feb-2018,Current,fractional,Cash,8965.88,1201.64,1034.12,167.52,0.0
1030,1031,budget analyst,3.0,MD,MORTGAGE,112000.0,Source Verified,6.98,,,,0,,2008,0,15,9,321788,39258,0,0,,0,0,1,5,23.0,9,0.0,0,3,110500,7,7,3,1,100.0,0,0,credit_card,individual,8000,36,6.08,243.67,A,A2,Feb-2018,Current,whole,Cash,6671.39,1469.28,1328.61,140.67,0.0
1033,1034,technical support representative,2.0,FL,RENT,37024.0,Source Verified,8.27,,,,0,,2008,1,13,8,29300,18416,0,0,,0,2531,4,1,5.0,8,0.0,0,1,10500,4,4,2,0,100.0,0,0,other,individual,5000,36,6.72,153.75,A,A3,Jan-2018,Current,whole,Cash,4364.17,765.02,635.83,129.19,0.0
1034,1035,assembler,5.0,NY,RENT,50000.0,Not Verified,16.06,,,,0,51.0,2006,2,21,9,64556,36161,0,0,79.0,0,0,4,7,1.0,9,0.0,0,1,12500,5,5,1,0,81.0,0,0,credit_card,individual,2000,36,7.97,62.65,A,A5,Feb-2018,Current,whole,Cash,1800.56,248.83,199.44,49.39,0.0
1037,1038,merchandise processor,10.0,OH,OWN,36000.0,Not Verified,18.17,,,,0,,1990,0,25,21,87905,16483,0,0,,0,0,1,11,20.0,21,0.0,0,10,61200,24,20,12,0,100.0,0,0,credit_card,individual,6000,36,6.08,182.75,A,A2,Feb-2018,Current,whole,Cash,5385.95,725.93,614.05,111.88,0.0
1052,1053,field service/customer service tech,7.0,PA,MORTGAGE,55000.0,Source Verified,17.0,,,,0,74.0,2000,0,22,9,163910,19635,0,0,,0,0,1,1,,9,0.0,0,5,21900,8,7,6,4,95.5,0,0,debt_consolidation,individual,24000,60,10.42,514.91,B,B3,Feb-2018,Current,whole,Cash,23072.45,1592.57,927.55,665.02,0.0
1055,1056,research & development ,10.0,TN,MORTGAGE,50000.0,Verified,13.35,95000.0,Verified,25.06,0,,2007,0,19,6,140873,26370,0,0,,0,0,1,4,,6,0.0,0,0,4300,10,4,1,6,100.0,0,0,debt_consolidation,joint,25000,36,7.34,775.82,A,A4,Mar-2018,Current,fractional,Cash,23119.84,2317.27,1880.16,437.11,0.0
1057,1058,superintendent ,5.0,GA,OWN,160000.0,Not Verified,11.37,,,,0,63.0,2009,0,21,11,231700,70345,0,0,69.0,0,431,2,10,,11,0.0,0,0,12600,11,8,2,1,90.5,0,0,house,individual,10000,36,11.98,332.05,B,B5,Feb-2018,Current,whole,Cash,9057.13,1321.54,942.87,378.67,0.0
1058,1059,regional vice president,2.0,TX,RENT,300000.0,Not Verified,9.68,,,,0,,1996,2,24,10,144506,89186,0,0,,0,0,1,0,1.0,10,0.0,0,4,115000,13,9,6,8,100.0,0,0,debt_consolidation,individual,16000,36,6.72,491.99,A,A3,Feb-2018,Current,whole,Cash,14376.87,1988.87,1623.13,365.74,0.0
