emp_title,emp_length,state,homeownership
supervisor ,10.0,CA,OWN
driver,5.0,MA,RENT
engineering manager,5.0,CT,MORTGAGE
director of human resources,7.0,OR,MORTGAGE
transmission supervisor,9.0,AZ,MORTGAGE
boilers operator ,10.0,NJ,MORTGAGE
service advisor,1.0,TX,MORTGAGE
,,FL,OWN
regional sales manager,3.0,PA,MORTGAGE
payroll tech,5.0,IL,MORTGAGE
,,PA,OWN
program analyst,10.0,CA,RENT
commercial driver,10.0,WA,RENT
facility maintanace,3.0,MO,RENT
mechanical engineer,0.0,CA,MORTGAGE
assistant property manager,0.0,CA,RENT
mro supervisor,6.0,CA,OWN
,,TN,MORTGAGE
director of nursing ,10.0,IN,MORTGAGE
financial aide accounts technician,9.0,NC,MORTGAGE
manager,10.0,MD,MORTGAGE
rn,3.0,GA,MORTGAGE
regional it security manager,1.0,NV,OWN
planner,10.0,GA,MORTGAGE
senior manager,0.0,PA,MORTGAGE
training developer,10.0,AZ,MORTGAGE
radio operator,3.0,VA,RENT
president,8.0,CA,RENT
manager,1.0,NY,RENT
sr admin specialist,10.0,PA,MORTGAGE
supeintendent,6.0,AZ,RENT
st fraud specialist,10.0,MN,MORTGAGE
manager,10.0,IL,MORTGAGE
funding manager,10.0,CA,MORTGAGE
loan officer assistant,5.0,VA,MORTGAGE
owner,10.0,FL,OWN
animal groomer,2.0,IN,MORTGAGE
owner,2.0,NC,OWN
counselor,2.0,LA,MORTGAGE
supervisor,4.0,CA,RENT
operations manager,2.0,NC,MORTGAGE
,,NY,OWN
family nurse practitioner,10.0,AK,MORTGAGE
truck driver,10.0,PA,OWN
city councilor ,8.0,MA,RENT
program chair,5.0,AL,MORTGAGE
landfill attendant,1.0,WA,MORTGAGE
farm manager,3.0,OR,MORTGAGE
pre verification specialist,8.0,NC,RENT
certified nurse assistant ,10.0,VA,OWN
fork lift driver,5.0,NC,OWN
surgical tech,3.0,AZ,MORTGAGE
,,PA,RENT
"receptionist, intake,driver",2.0,OH,RENT
research associate,7.0,CA,RENT
"director, enterprise solutions",2.0,PA,RENT
parts manager,2.0,ME,RENT
machinen operarto cnc,10.0,CA,RENT
licensed optician ,10.0,KY,MORTGAGE
attorney ,10.0,CA,OWN
owner,10.0,MO,MORTGAGE
it analyst,7.0,NY,MORTGAGE
it specialist,5.0,MD,RENT
general manager,2.0,MO,MORTGAGE
sr shelf edge analyst,10.0,IL,RENT
itd,5.0,OH,MORTGAGE
project manager,0.0,CA,MORTGAGE
electronics technician,10.0,FL,MORTGAGE
,,WA,RENT
assistant store  manager,10.0,FL,MORTGAGE
registered nurse,0.0,RI,OWN
cantor,10.0,MI,MORTGAGE
director of operations,4.0,OH,MORTGAGE
software tech,10.0,MN,RENT
butcher,10.0,NY,RENT
clinical manager,4.0,GA,MORTGAGE
pharmacy technician,1.0,IL,OWN
civil engineer 2,10.0,NY,OWN
it manager,3.0,CA,OWN
accountant,4.0,IL,RENT
wheel tech,1.0,MO,OWN
network operations center analyst,10.0,CA,RENT
ramp lead,3.0,FL,RENT
sales,10.0,GA,MORTGAGE
staffing consultant,0.0,CA,RENT
aircraft technician,10.0,NY,RENT
engineering technician ,2.0,NV,MORTGAGE
,,MI,MORTGAGE
senior manager,5.0,NY,RENT
driver,3.0,MS,MORTGAGE
supervisor,10.0,WA,MORTGAGE
associate project manager,5.0,WA,RENT
assistant head,3.0,WA,RENT
sales,5.0,CA,OWN
writer producer scripps interactive,7.0,NY,RENT
principal secretary ,9.0,CA,RENT
escrow officer,7.0,CA,MORTGAGE
,,WI,MORTGAGE
,,AL,OWN
technician,8.0,OH,OWN
painter/blaster,2.0,LA,OWN
account manager,2.0,GA,MORTGAGE
oven operator ,10.0,FL,MORTGAGE
line cook,0.0,IL,RENT
sales manager ,10.0,TX,MORTGAGE
,,MA,OWN
driver,2.0,WA,RENT
executive assistant,9.0,NY,MORTGAGE
mamager,9.0,NY,RENT
it system administrator,7.0,CA,RENT
concierge specialist,1.0,HI,RENT
therapist,9.0,GA,MORTGAGE
buyer,10.0,CA,RENT
principal customer care analyst,10.0,MD,MORTGAGE
office manager,10.0,PA,RENT
software engineer,0.0,NJ,RENT
customer management ,10.0,AZ,MORTGAGE
principal user experience engineer,2.0,CA,RENT
millwright,6.0,TX,OWN
foreman,9.0,CA,RENT
quality manager,6.0,LA,MORTGAGE
area sales manager,10.0,FL,MORTGAGE
help desk,0.0,NC,MORTGAGE
operations manager,1.0,TX,RENT
maint mannager,3.0,TX,MORTGAGE
case manager ,2.0,FL,MORTGAGE
federal work-study,4.0,CO,MORTGAGE
project manager/ developer,5.0,TX,MORTGAGE
digital content specialist,0.0,VA,RENT
teacher ,10.0,MA,MORTGAGE
waitress,3.0,MA,RENT
technical support manager,10.0,CO,RENT
receptionist ,1.0,AL,RENT
sr operations analyst,10.0,OR,RENT
maintenance,10.0,NY,MORTGAGE
tech suppo,10.0,CO,RENT
loan originator,2.0,NY,RENT
technology coordinator ,10.0,GA,RENT
director of it,10.0,LA,MORTGAGE
fire captain ,10.0,CA,MORTGAGE
assistant teacher,10.0,NY,RENT
showroom manager,2.0,NY,MORTGAGE
security tech,1.0,CA,RENT
automation engineer,2.0,MA,RENT
,,GA,MORTGAGE
admin assistant,0.0,FL,RENT
"system manager, quality- rn",10.0,IN,OWN
admin assistant,1.0,WA,MORTGAGE
loan administrator,3.0,IL,RENT
operator,5.0,OH,MORTGAGE
cooler service technician,8.0,CA,RENT
recruiter ,1.0,CA,RENT
unit clerk,10.0,NY,RENT
project lead in it,10.0,CA,OWN
communication agent,10.0,CA,RENT
physician ,5.0,VA,MORTGAGE
construction inspector ii,10.0,CA,OWN
executive assistant to the dean,0.0,CA,OWN
senior regional property manager,10.0,VA,MORTGAGE
developmental specialist,6.0,OH,MORTGAGE
teacher,10.0,CA,MORTGAGE
maintenance mechanic/control specialist ,8.0,CO,MORTGAGE
territorial sales rep,3.0,CA,RENT
senior analyst,3.0,WA,MORTGAGE
sales consultant ,2.0,NH,MORTGAGE
sales,10.0,KY,OWN
,,NJ,OWN
teachrr,10.0,FL,RENT
vice president,10.0,CA,MORTGAGE
,,OK,MORTGAGE
assistant managee,4.0,NY,RENT
yard driver,10.0,CO,MORTGAGE
,,FL,RENT
sales,10.0,IL,MORTGAGE
,,CA,RENT
manager,2.0,NC,MORTGAGE
freelance electrician,4.0,NY,RENT
rn,2.0,CA,RENT
program director ,5.0,CA,RENT
waitress,10.0,CA,RENT
,,NM,OWN
,,FL,OWN
teacher ,10.0,NV,MORTGAGE
billing supervisor,10.0,NJ,RENT
purchasing manager,10.0,FL,MORTGAGE
registered nurse,5.0,CT,MORTGAGE
medical assistant ,6.0,UT,MORTGAGE
pca,1.0,NJ,RENT
cyber specialist,2.0,NJ,RENT
sr systems engineer,3.0,PA,MORTGAGE
head teller,10.0,TN,MORTGAGE
planning asso,10.0,MN,MORTGAGE
client service rep ii,4.0,AZ,MORTGAGE
general maintenance iii,9.0,PA,RENT
underwriter/agent,3.0,GA,MORTGAGE
clerk,10.0,LA,MORTGAGE
front desk receptionist guard,6.0,NY,RENT
sales associate,10.0,CA,MORTGAGE
,,NC,MORTGAGE
warehouse manager,10.0,GA,OWN
accountant,0.0,NV,MORTGAGE
sales,3.0,NJ,MORTGAGE
automotive mechanic,3.0,NC,RENT
lead respiratory therapist ,10.0,NY,RENT
service department manager ,0.0,NH,RENT
technician,10.0,CA,RENT
registered nurse,6.0,MI,RENT
licensing specialist,0.0,GA,RENT
client services mgr,2.0,PA,MORTGAGE
ceo/vp of opns,10.0,CT,MORTGAGE
assistant manager,2.0,NY,RENT
asistence eng,0.0,NJ,MORTGAGE
mechanic,3.0,VA,MORTGAGE
,,WA,OWN
bookkeeper,10.0,AL,MORTGAGE
practice specialist,4.0,MA,MORTGAGE
sr planning & analysis anst,10.0,FL,MORTGAGE
training manager ,10.0,NY,MORTGAGE
housekeeping,10.0,CA,OWN
,,CT,RENT
supervisor,4.0,NC,RENT
shipping manager,10.0,CA,MORTGAGE
warehouse manager,0.0,OR,MORTGAGE
plant protection technician ,1.0,OH,RENT
corrections officer,3.0,NY,RENT
business analyst,10.0,PA,MORTGAGE
tooling designer ,8.0,TN,OWN
technical specialist,10.0,WA,MORTGAGE
,,AZ,MORTGAGE
,,PA,RENT
pilot,2.0,AR,RENT
director of operations,3.0,MA,RENT
buyer i,1.0,TX,RENT
forman ,4.0,AK,RENT
director,5.0,FL,OWN
,,IN,MORTGAGE
time and travel coordinator,8.0,PA,MORTGAGE
,,NY,OWN
sr financial analyst,10.0,TX,MORTGAGE
registered nurse,1.0,FL,RENT
auto technician ,10.0,MI,MORTGAGE
storeroom attendant,2.0,CA,RENT
,,ID,RENT
owner,10.0,VT,MORTGAGE
delivery driver,10.0,NC,RENT
lead,10.0,ID,RENT
night shift associate,4.0,AK,RENT
sr network administrator,3.0,IL,MORTGAGE
medical biller,10.0,IL,RENT
vp security specialist,10.0,FL,MORTGAGE
stylest,10.0,NY,OWN
maintenance technician,6.0,SC,OWN
,,GA,OWN
,,TX,OWN
operating engineer,10.0,IL,MORTGAGE
registered nurse,9.0,MO,MORTGAGE
military,10.0,CO,RENT
architectural detailer,5.0,TX,MORTGAGE
banker,3.0,CA,RENT
manager,9.0,CA,RENT
claims imaging technician,3.0,NC,MORTGAGE
sandblaster,2.0,UT,MORTGAGE
glazier,3.0,CA,RENT
vp,2.0,IL,MORTGAGE
accountant,2.0,CA,RENT
programmer,2.0,TX,MORTGAGE
director,1.0,UT,RENT
executive admin,9.0,MI,MORTGAGE
truck driver,0.0,PA,MORTGAGE
training specialist,3.0,MA,RENT
driver,4.0,NY,RENT
e-9,10.0,AZ,MORTGAGE
medical dosimetrist,10.0,GA,MORTGAGE
process engineer,1.0,NY,RENT
instructor asst,10.0,OH,MORTGAGE
a&p technician,10.0,AZ,RENT
owner ,10.0,CA,RENT
bartender,6.0,AZ,RENT
rn,1.0,MD,MORTGAGE
truck driver,5.0,CA,RENT
billing clerk,10.0,PA,RENT
general manager,9.0,NE,MORTGAGE
proofreader ,1.0,PA,MORTGAGE
mechanical engineer,2.0,CA,MORTGAGE
detention transportion officer,5.0,NY,MORTGAGE
senior closer,3.0,CA,RENT
centrel supply manager,8.0,OH,RENT
evs lead ,3.0,OR,RENT
project support manager,5.0,GA,MORTGAGE
claims examiner,5.0,FL,MORTGAGE
foreman,10.0,FL,MORTGAGE
president,10.0,FL,MORTGAGE
owner,2.0,TX,OWN
analyst,10.0,CO,MORTGAGE
nurse,10.0,CA,MORTGAGE
truck driver ,5.0,TX,OWN
,,AL,OWN
quality review specialist,10.0,MI,MORTGAGE
biller and collector,2.0,CA,OWN
legal secretary,9.0,CA,MORTGAGE
carpenter foreman,10.0,HI,MORTGAGE
ceo,9.0,NY,RENT
president,2.0,NY,MORTGAGE
medical coding auditor ,0.0,NC,RENT
general manager,1.0,FL,RENT
manager,1.0,CA,RENT
office manager,5.0,PA,OWN
project manager,0.0,IL,RENT
atm technician,1.0,NJ,RENT
sales,3.0,NE,MORTGAGE
vp of automotive operations,10.0,MI,MORTGAGE
juvenile probation officer,2.0,TX,MORTGAGE
registered nurse,1.0,GA,RENT
human resources manager,3.0,FL,RENT
manager ,0.0,MI,RENT
system analyst ,1.0,CT,RENT
machine operator,4.0,PA,RENT
executive producer,10.0,MO,MORTGAGE
fund operations analyst,1.0,NJ,RENT
early collector,2.0,TX,RENT
receptionist,10.0,PA,RENT
rn,0.0,WI,MORTGAGE
mgmt,6.0,NJ,MORTGAGE
cna/hha,6.0,KS,OWN
contract specialist ii,10.0,TN,OWN
supervisor,10.0,TX,RENT
senior communications specialist,8.0,VA,RENT
insurance broker,9.0,CT,MORTGAGE
,,OH,RENT
rn,10.0,GA,MORTGAGE
health plan data analytics,10.0,PA,RENT
manager,0.0,GA,OWN
machinist ,10.0,CA,RENT
law enforcement,10.0,SC,MORTGAGE
property manager,3.0,FL,RENT
safety coordinator,10.0,TX,MORTGAGE
superintendant,10.0,ND,MORTGAGE
teacher,2.0,NH,RENT
nurse practitioner ,3.0,TX,MORTGAGE
office services,8.0,CA,RENT
underwriter,9.0,KY,OWN
technician,10.0,OH,MORTGAGE
account manager,10.0,PA,RENT
nurse,2.0,CT,RENT
vice president,3.0,CA,MORTGAGE
school bus driver,8.0,MO,MORTGAGE
technical rep,10.0,MD,RENT
lead graphic designer,4.0,IL,RENT
ceo,4.0,FL,MORTGAGE
account services representative ,0.0,TN,RENT
billing coordinator,10.0,NJ,MORTGAGE
recruiting coordinator & sourcer,0.0,CA,RENT
senior social worker,10.0,CA,RENT
registered nurse / emergency dept,10.0,VA,OWN
director of housekeeping ,8.0,NV,MORTGAGE
pt specialist,2.0,MO,MORTGAGE
supervisor,10.0,WA,MORTGAGE
military police,10.0,NY,RENT
customer service re,1.0,PA,MORTGAGE
owner,10.0,UT,MORTGAGE
gneral manager,7.0,CT,RENT
it manager,10.0,CO,MORTGAGE
machine operator,0.0,NV,RENT
driver,3.0,CA,RENT
truck driver,2.0,WV,OWN
supervisor,3.0,IL,OWN
patient access ,2.0,AL,MORTGAGE
senior data engineer,10.0,OR,RENT
,,TX,RENT
solution architect ,6.0,MO,MORTGAGE
server,2.0,AL,MORTGAGE
dpw supervisor ,9.0,WA,OWN
designer,10.0,MI,MORTGAGE
,,AR,RENT
marketing director ,3.0,CO,RENT
ed,10.0,NY,MORTGAGE
attorney,4.0,IL,MORTGAGE
rating veterans service representative,10.0,SC,MORTGAGE
,10.0,NY,RENT
kitchen manager,4.0,CA,RENT
dental hygienist,10.0,OR,MORTGAGE
senior consultant,4.0,OH,MORTGAGE
c n a,9.0,FL,MORTGAGE
splicer,5.0,IL,OWN
server,3.0,MN,RENT
assistant business agent,10.0,MD,MORTGAGE
licensed sales professional,0.0,IL,RENT
rn director,3.0,CA,MORTGAGE
manager,5.0,CO,MORTGAGE
advanced refining inspector,5.0,TX,MORTGAGE
professor,5.0,IL,MORTGAGE
signing instructional ,10.0,CA,MORTGAGE
supply chain,0.0,AZ,MORTGAGE
it helpdesk support,3.0,NJ,OWN
driver,5.0,TX,MORTGAGE
executive receptionint,10.0,NY,RENT
project administrator,3.0,HI,RENT
marketing manager,3.0,IL,MORTGAGE
school secretary,6.0,CA,MORTGAGE
supervisor,10.0,PA,MORTGAGE
tow boat pilot,10.0,NC,RENT
software architect,2.0,IL,OWN
president,10.0,OH,MORTGAGE
hydrogeologist,9.0,MI,RENT
manager,10.0,VA,MORTGAGE
clinical advisor behavirol health,6.0,FL,RENT
financial analyst,8.0,AZ,MORTGAGE
district manager,1.0,WA,OWN
substitute teacher,1.0,FL,MORTGAGE
supervisor,10.0,NY,MORTGAGE
perishables assistant,5.0,OH,RENT
data entry,10.0,MN,MORTGAGE
appraiser,10.0,NC,MORTGAGE
underwriting service specialist,2.0,NY,RENT
teacher,10.0,OH,MORTGAGE
team leader,4.0,NJ,RENT
director,10.0,CA,OWN
owner,10.0,CA,RENT
press brake operator ,10.0,TX,RENT
business development ,4.0,CO,MORTGAGE
owner,10.0,GA,OWN
registered nurse,4.0,CO,MORTGAGE
office manager,10.0,CT,RENT
,0.0,MI,MORTGAGE
technician ,3.0,CT,RENT
it lead,10.0,FL,MORTGAGE
phelbotomist ,1.0,OH,MORTGAGE
gas service tech,10.0,CA,OWN
commercial lender,4.0,ID,MORTGAGE
custodian,0.0,IN,RENT
sr claims adjustor ,10.0,IN,MORTGAGE
bartender,6.0,NV,RENT
machine operator,10.0,AL,OWN
,,DE,MORTGAGE
software engineer,6.0,FL,MORTGAGE
principal,3.0,RI,RENT
director,10.0,TN,MORTGAGE
accountant,10.0,AR,OWN
inventory control mgr,10.0,SC,MORTGAGE
ld teacher computer science,6.0,FL,RENT
supervisor,10.0,NM,MORTGAGE
bus driver,3.0,NJ,RENT
wic manager,10.0,MI,MORTGAGE
sales,10.0,NV,MORTGAGE
mechanical maintenance ,7.0,TN,MORTGAGE
assistant vice president,10.0,NY,RENT
bartender,0.0,TX,MORTGAGE
water system foreman,10.0,NY,MORTGAGE
payroll manager/ar,6.0,CO,OWN
simpsonville campus admin,1.0,SC,RENT
director-owner,7.0,MN,MORTGAGE
special education paraprofessional ,3.0,NE,RENT
systems analyst,3.0,MI,RENT
quality control,10.0,IL,MORTGAGE
heavy equipment operator,5.0,SD,MORTGAGE
hvac installer,1.0,CA,RENT
scheduling manager,10.0,MN,OWN
plant manager,7.0,GA,MORTGAGE
manager,10.0,NJ,OWN
director of quality,10.0,GA,MORTGAGE
claims rep,7.0,CO,MORTGAGE
teacher,4.0,FL,OWN
national registrar,2.0,AZ,MORTGAGE
vice president,7.0,TN,MORTGAGE
sr business specialist,10.0,NY,MORTGAGE
sales associate,2.0,CA,RENT
program manager,7.0,MI,MORTGAGE
project manager,4.0,TX,MORTGAGE
security,10.0,GA,MORTGAGE
loan originator assistant,4.0,TX,MORTGAGE
server ,0.0,TX,RENT
president,10.0,TX,MORTGAGE
loan officer,5.0,NJ,RENT
store management ,10.0,TX,MORTGAGE
billing clerk,3.0,FL,MORTGAGE
teacher,5.0,PA,OWN
server,2.0,NV,MORTGAGE
nurse case manager ,2.0,OH,RENT
postdoctoral fellow,2.0,MA,RENT
branch manager,3.0,AZ,MORTGAGE
"vp, operations",10.0,CA,RENT
lp nurse,6.0,VA,MORTGAGE
lead tradesman,10.0,TX,MORTGAGE
human resources business partner,10.0,TX,MORTGAGE
product development chemist,5.0,OH,RENT
financial manager,2.0,PA,MORTGAGE
deputy,10.0,TX,MORTGAGE
environmental service,2.0,OH,RENT
equipment operator,10.0,OH,MORTGAGE
chief marketing officer,0.0,MN,RENT
coal miner,10.0,WV,MORTGAGE
senior linguist,2.0,VA,RENT
senior field engineer,6.0,AL,MORTGAGE
executive chef,4.0,FL,MORTGAGE
store manager,6.0,AZ,RENT
cash poster,3.0,FL,MORTGAGE
sr software engineer,5.0,CO,MORTGAGE
inspector ,0.0,VA,RENT
driver,10.0,IL,RENT
senior government underwriter,2.0,NC,MORTGAGE
,,FL,RENT
dealer success consultant,10.0,CO,MORTGAGE
teacher,5.0,OH,MORTGAGE
rn,1.0,TN,MORTGAGE
sales,3.0,VA,RENT
treatment advocate,10.0,IL,RENT
boat captain,2.0,AL,MORTGAGE
banker,0.0,OH,MORTGAGE
manager,6.0,CT,MORTGAGE
service techician,10.0,CA,MORTGAGE
uber driver,1.0,RI,RENT
driver,10.0,NY,MORTGAGE
hr recruitment,5.0,CA,RENT
discharge planner,9.0,AL,OWN
treasurer,10.0,TX,OWN
nurse,10.0,TX,MORTGAGE
recreational therapist,10.0,CA,RENT
manager,0.0,IL,MORTGAGE
maintenance supervisor,10.0,MD,MORTGAGE
legal secretary,3.0,NY,RENT
coo,10.0,AZ,MORTGAGE
asst bartender / food runner,3.0,NV,RENT
senior integrator sales,0.0,FL,OWN
locomotive engineer ,5.0,KY,MORTGAGE
physician,10.0,MA,MORTGAGE
,,FL,MORTGAGE
managers ,5.0,TX,MORTGAGE
"sr director, procurement/attorney",6.0,RI,MORTGAGE
academic affairs coordinator,2.0,CA,OWN
phlebotomy supervisor ,10.0,LA,RENT
,,FL,RENT
leadman,10.0,CO,MORTGAGE
owner,10.0,FL,OWN
corporate tax director,3.0,MN,MORTGAGE
captain-fire department ,10.0,WA,RENT
,,LA,OWN
intervention specialist,2.0,CA,MORTGAGE
coffee roaster,2.0,NY,RENT
forman ,10.0,NJ,MORTGAGE
rv tech,2.0,TX,OWN
principal,1.0,TX,MORTGAGE
,,IN,OWN
senior designer,6.0,WA,RENT
shift manager,8.0,MI,RENT
operations manager,6.0,WI,OWN
truck driver ,3.0,FL,MORTGAGE
assistant manager,10.0,NV,RENT
senior computer operator,10.0,NV,RENT
principal ,10.0,NV,OWN
,,KS,RENT
intelligent analyst ,2.0,MD,MORTGAGE
night merch,10.0,WA,MORTGAGE
equipment mechanic,1.0,OH,MORTGAGE
office manager,4.0,GA,OWN
sonographer,2.0,MI,RENT
shift manager,3.0,CA,RENT
children's social worker,2.0,CA,RENT
service writer,2.0,NC,MORTGAGE
teacher,8.0,TN,MORTGAGE
boss,10.0,OR,RENT
correctional sergeant,10.0,CA,MORTGAGE
security officer,3.0,TX,OWN
driver,0.0,CA,RENT
finance manager,4.0,GA,OWN
inspector,10.0,MI,MORTGAGE
culity control ,9.0,FL,MORTGAGE
service deli,2.0,WA,MORTGAGE
maint,9.0,VT,MORTGAGE
pricing,10.0,MN,RENT
general manager,10.0,FL,OWN
maintenance mechanic ,0.0,MA,RENT
manager ,0.0,MA,RENT
driver,10.0,OR,MORTGAGE
inflight,0.0,FL,RENT
attorney,0.0,CT,MORTGAGE
quality assurance tech,10.0,MT,MORTGAGE
meat manager,10.0,IN,MORTGAGE
project coordinator,9.0,NC,MORTGAGE
ceo,5.0,MO,OWN
equipment operator,1.0,CA,MORTGAGE
lpn,1.0,SC,MORTGAGE
registered nurse,1.0,MD,RENT
gulf coast territorial manager,6.0,NY,MORTGAGE
head athletic trainer,5.0,SC,RENT
manager,10.0,PA,MORTGAGE
,,MO,RENT
program project manager,1.0,TX,RENT
manager,3.0,TX,MORTGAGE
hospice nurse,1.0,WA,RENT
analyst,4.0,CT,MORTGAGE
teacher,4.0,NY,RENT
,,NY,MORTGAGE
consultant,0.0,VA,RENT
inventory cordinator,2.0,GA,MORTGAGE
sr pm,8.0,SC,MORTGAGE
program manager,10.0,OR,RENT
electrician ,6.0,NY,RENT
service engineer ,0.0,IN,RENT
management,10.0,CO,MORTGAGE
truck driver,1.0,CA,MORTGAGE
director of business dev,10.0,FL,MORTGAGE
sr it manager,10.0,GA,MORTGAGE
health professions recruiter,10.0,CA,RENT
,,TX,OWN
truck driver,10.0,NH,MORTGAGE
sales,5.0,CA,RENT
"rn, clinical coordinator ",2.0,MA,RENT
sales manager ,1.0,CA,RENT
machine operator,10.0,IL,RENT
comfort consultant,3.0,TN,MORTGAGE
respiratory therapist ,5.0,TX,RENT
claims specialist,2.0,FL,RENT
owner/consultant,7.0,FL,RENT
material ro,10.0,IN,MORTGAGE
teacher,5.0,CA,RENT
teacher ,10.0,TX,OWN
pastor,9.0,SC,OWN
senior director ,7.0,OR,MORTGAGE
,,CA,RENT
test technician,0.0,UT,RENT
manager,9.0,UT,OWN
learning strategist,8.0,NV,MORTGAGE
manager,4.0,NY,RENT
compliance officer,2.0,TX,RENT
pastor,10.0,TN,OWN
operations manager,7.0,TX,MORTGAGE
,,FL,RENT
branch manager,6.0,NY,RENT
director,10.0,NY,RENT
owner ,10.0,FL,MORTGAGE
commercial receivable specialist,0.0,MD,RENT
local support provider iii,10.0,TN,MORTGAGE
admin,0.0,MO,RENT
pse mail processing clerk,1.0,NY,OWN
manicurist,10.0,TX,RENT
tractor trailer driver,1.0,AZ,MORTGAGE
manager,2.0,CT,RENT
respiratory therapist,4.0,SC,RENT
medical coder,4.0,CA,RENT
trainer,7.0,IN,RENT
,,MD,MORTGAGE
crew leader,3.0,FL,OWN
sr crew member,4.0,GA,MORTGAGE
finance assistant ,7.0,AZ,OWN
director of accounting,10.0,NY,MORTGAGE
master trainer ,10.0,TX,MORTGAGE
assistant professor ,5.0,CA,RENT
software engineer,3.0,CA,RENT
maintenance technician   ,1.0,MI,OWN
president,0.0,MI,MORTGAGE
director of global sourcing,5.0,NY,MORTGAGE
it specialist,10.0,VA,MORTGAGE
processing supervisor,9.0,IN,MORTGAGE
project manager,0.0,NY,MORTGAGE
department manager,10.0,PA,MORTGAGE
lead wingman,0.0,MA,RENT
manager,10.0,FL,MORTGAGE
manager,8.0,NY,RENT
driver,0.0,TX,MORTGAGE
,,FL,RENT
teacher,0.0,TX,OWN
cna,3.0,IL,RENT
cna/hha hospice,10.0,CA,RENT
assistant general counsel,2.0,TX,RENT
owner,10.0,MN,MORTGAGE
senior film processor,10.0,AL,OWN
,,NY,RENT
,,WA,RENT
school bus driver,0.0,WA,MORTGAGE
valet,5.0,MD,RENT
fraud rep,6.0,UT,MORTGAGE
teacher,6.0,FL,RENT
it manager,4.0,TX,RENT
registered nurse,10.0,CA,RENT
beer lead,10.0,PA,RENT
business office coordinator,0.0,TN,MORTGAGE
owner,5.0,MT,OWN
owner,0.0,CA,MORTGAGE
program anaylst,2.0,CA,MORTGAGE
customer relations ,10.0,NY,OWN
,,MS,RENT
assembler 2,3.0,OH,MORTGAGE
csr,3.0,PA,MORTGAGE
certified pharmacy tech,2.0,VA,MORTGAGE
supervisor,10.0,NJ,RENT
cashier,6.0,SC,MORTGAGE
cdl driver,6.0,FL,MORTGAGE
general manager,3.0,FL,RENT
driver ,1.0,TX,MORTGAGE
administrative assistant ,2.0,WI,MORTGAGE
,,NJ,MORTGAGE
social worker,2.0,NY,RENT
dds,6.0,TX,MORTGAGE
,,CA,OWN
,,FL,RENT
bindery machine operator,10.0,IL,MORTGAGE
cashier,10.0,WI,RENT
irrigation tech,3.0,FL,RENT
clerk,2.0,GA,OWN
packaging ,10.0,OH,MORTGAGE
sfc,10.0,NV,RENT
sales manager,0.0,TX,MORTGAGE
manager,10.0,GA,OWN
,,TN,MORTGAGE
,,AR,RENT
management ,10.0,TN,MORTGAGE
5th year apprentice ,1.0,WA,RENT
teacher,10.0,NY,MORTGAGE
sales associate,10.0,MI,RENT
legal assistant ,9.0,NY,OWN
data analyst,8.0,TX,MORTGAGE
,,TX,OWN
president & ceo,10.0,TX,RENT
engineer,3.0,MI,RENT
it,10.0,KY,MORTGAGE
forman,3.0,NC,MORTGAGE
head of business development,1.0,FL,MORTGAGE
teacher,3.0,FL,RENT
transportation supervisor,10.0,PA,RENT
,,PA,RENT
sales/photographer,1.0,CA,RENT
field support revenue accountant,0.0,CA,RENT
teacher,10.0,MI,MORTGAGE
owner,1.0,TX,MORTGAGE
senior detention officer,10.0,NV,MORTGAGE
owner ,1.0,CA,RENT
evidence technician,10.0,AZ,MORTGAGE
,,VA,MORTGAGE
,,ME,MORTGAGE
system admin,2.0,TX,OWN
route salesman,0.0,OH,MORTGAGE
sales engineer,0.0,UT,MORTGAGE
it specialist,10.0,TX,MORTGAGE
director of technology,2.0,OH,MORTGAGE
driver ,10.0,TX,RENT
coo,10.0,IN,MORTGAGE
lead tech,8.0,AZ,MORTGAGE
foundation executive,3.0,IL,MORTGAGE
machanic,10.0,VA,MORTGAGE
attorney/partner ,10.0,FL,MORTGAGE
court officer,4.0,NY,RENT
surgery scheduler,5.0,TN,MORTGAGE
medical assistant,4.0,NY,RENT
retail manager,10.0,TX,MORTGAGE
driver,6.0,CA,RENT
manager ,10.0,OH,MORTGAGE
barber,10.0,PA,RENT
legal assistant & payroll ,10.0,TX,MORTGAGE
warehouse,6.0,TX,MORTGAGE
veterans counselor,3.0,TX,OWN
prep & flow team leader,10.0,CA,RENT
customer service,10.0,NY,RENT
teacher,10.0,NY,RENT
cell director/operator_3,10.0,CA,RENT
director,10.0,CA,RENT
,,NJ,RENT
social worker sercoordinator,10.0,AL,RENT
,,AL,RENT
physical therapist,3.0,MN,MORTGAGE
administrator,5.0,TN,OWN
sales consultant,4.0,MO,MORTGAGE
consultant,5.0,TX,MORTGAGE
,,GA,MORTGAGE
tenant services director,7.0,NY,RENT
driver,2.0,CA,RENT
deputy sheriff,10.0,CA,RENT
registered nurse,4.0,WV,OWN
financial analyst,1.0,FL,OWN
justice of the peace judge,10.0,DE,MORTGAGE
branch manager,10.0,NC,RENT
ui ux designer,2.0,MI,RENT
,,TN,OWN
driver,3.0,HI,MORTGAGE
middle school science teacher,10.0,GA,RENT
"orthodontist, owner",2.0,TX,RENT
medical assistant,7.0,HI,MORTGAGE
pca,5.0,NY,RENT
manager,10.0,CA,RENT
therapist,4.0,FL,MORTGAGE
team  leader,10.0,AL,MORTGAGE
manager ,1.0,CA,OWN
